,label,duration,segments,syllables
67,akkas,0.27761449738229516,"[0.08665935108906098, 0.059784639663156725, 0.045248004874920866, 0.08592250175515659]","[('ak', 3, 1), ('kas', 2, 0)]"
68,pesa,0.5396134180666081,[],"[('pe', 1, 1), ('sa', 1, 0)]"
69,"pesitama,",1.4019088096533707,[],"[('pe', 1, 1), ('si', 2, 0), ('ta', 1, 0), ('ma', 1, 0)]"
70,puuraagu,1.055783965483414,[],"[('puu', 3, 1), ('raa', 2, 1), ('gu', 1, 0)]"
71,korjama.,0.9411332239707448,"[0.1268086255252001, 0.17965184276813773, 0.13357833958258425, 0.07986528302350848, 0.14913471697649072, 0.11953287981859262, 0.15256153627623092]","[('kor', 2, 1), ('ja', 1, 0), ('ma', 1, 0)]"
72,Sai,0.3461750629900564,[],"[('sai', 3, 1)]"
73,see,0.27037524134959057,[],"[('see', 3, 1)]"
74,pesa,0.6081786135256948,[],"[('pe', 1, 1), ('sa', 1, 0)]"
75,valmis,0.6145538548752825,[],"[('val', 2, 1), ('mis', 2, 0)]"
76,"saanud,",0.6068655992960217,[],"[('saa', 2, 1), ('nud', 2, 0)]"
77,akkase,0.5447241944089143,"[0.2175032053112318, 0.1244583102851422, 0.06788635106461527, 0.05782911386986456, 0.07704721387806046]","[('ak', 3, 1), ('ka', 1, 0), ('se', 1, 0)]"
78,mune,0.5995695033472188,[],"[('mu', 1, 1), ('ne', 1, 0)]"
79,munema;,0.8153177559417841,[],"[('mu', 1, 1), ('ne', 1, 0), ('ma', 1, 0)]"
80,sai,0.34186664182701776,[],"[('sai', 3, 1)]"
81,need,0.280927781312009,[],"[('need', 3, 1)]"
82,munad,0.5474862581441471,[],"[('mu', 1, 1), ('nad', 2, 0)]"
83,"munetud,",0.9302162903569879,[],"[('mu', 1, 1), ('ne', 2, 0), ('tud', 2, 0)]"
84,akkas,0.5463787491128187,[],"[('ak', 3, 1), ('kas', 2, 0)]"
85,poegi,0.5251875000000013,[],"[('poe', 2, 1), ('gi', 1, 0)]"
86,auduma;,0.8522472947673876,[],"[('au', 2, 1), ('du', 1, 0), ('ma', 1, 0)]"
87,sai,0.663131655811867,[],"[('sai', 3, 1)]"
88,need,0.5759608843537407,[],"[('need', 3, 1)]"
89,pojad,0.45253911564626037,[],"[('po', 1, 1), ('jad', 2, 0)]"
90,"audunud,",0.7811052854860492,[],"[('au', 2, 1), ('du', 1, 0), ('nud', 2, 0)]"
91,akkase,0.5576576686144676,[],"[('ak', 3, 1), ('ka', 1, 0), ('se', 1, 0)]"
92,neida,0.630791680253239,[],"[('nei', 2, 1), ('da', 1, 0)]"
93,"kasvatama,",1.0909610206172147,[],"[('kas', 2, 1), ('va', 2, 0), ('ta', 1, 0), ('ma', 1, 0)]"
94,"kasvatama,",1.2330257993703242,[],"[('kas', 2, 1), ('va', 2, 0), ('ta', 1, 0), ('ma', 1, 0)]"
95,kangutam(a);,1.353272005956768,[],"[('kan', 2, 0), ('gu', 2, 0), ('tam', 2, 0), ('(a', 3, 1)]"
96,sai,0.4335225826075657,[],"[('sai', 3, 1)]"
97,neede,0.2537855900737611,"[0.033778960492483634, 0.07555783238144897, 0.05555722969224064, 0.08889156750758787]","[('nee', 2, 1), ('de', 1, 0)]"
98,pojad,0.6254278993335163,[],"[('po', 1, 1), ('jad', 2, 0)]"
99,"kasvatud,",1.2397665770668738,[],"[('kas', 2, 1), ('va', 2, 0), ('tud', 2, 0)]"
100,akkas,0.6153530551610515,[],"[('ak', 3, 1), ('kas', 2, 0)]"
101,neida,0.5376953124999915,[],"[('nei', 2, 1), ('da', 1, 0)]"
102,pillama.,1.202732141830694,[],"[('pil', 2, 1), ('la', 1, 0), ('ma', 1, 0)]"
103,Ühe,0.24965792230212003,[],"[('ü', 1, 1), ('he', 1, 0)]"
104,pani,0.25747444724555635,"[0.051988868690301615, 0.11384213123056952, 0.0381578687694315, 0.05348557855525371]","[('pa', 1, 1), ('ni', 1, 0)]"
105,päevaks,0.6796832139617663,[],"[('päe', 2, 1), ('vaks', 2, 0)]"
106,peale,0.61012684279099,[],"[('pea', 2, 1), ('le', 1, 0)]"
107,"ilma,",0.5892674211126803,[],"[('il', 2, 1), ('ma', 1, 0)]"
108,teise,0.3420767115297281,[],"[('tei', 2, 1), ('se', 1, 0)]"
109,pani,0.43309338468563396,[],"[('pa', 1, 1), ('ni', 1, 0)]"
110,kuuks,0.5049238052447294,[],"[('kuuks', 3, 1)]"
111,"taevudes,",0.9013117685363312,"[0.08552069234598036, 0.1929100132209669, 0.13936117442077034, 0.0589999999999975, 0.13747792404659265, 0.08324216970558496, 0.1320393036709362, 0.07176049112550231]","[('tae', 2, 1), ('vu', 1, 0), ('des', 2, 0)]"
112,kolmanda,0.5654726700689707,[],"[('kol', 2, 1), ('man', 2, 0), ('da', 1, 0)]"
113,kiviks,0.6414576001872092,[],"[('ki', 1, 0), ('viks', 3, 1)]"
114,põllu,0.5772172401512421,[],"[('põl', 2, 1), ('lu', 1, 0)]"
115,peale.,0.47388164205317196,[],"[('pea', 2, 1), ('le', 1, 0)]"
